Lp,Name,VAI,AvgTTFF,AvgTTFG,GazesAvgTimeSpent,Fixations,Gazes,Kcoefficient,AOITimeRange
1,AI gen,79%,1.81s,1.64s,4.56s,542,8300,0.37,0.5s ‒ 10s
2,AI_gen_3sec,62%,1.39s,1.18s,1.04s,106,1619,0.29,0.5s ‒ 3s
3,Orig_3sec,80%,0.88s,0.6s,1.43s,166,2678,-0.12,0.5s ‒ 3s
4,Original,78%,0.91s,0.62s,3.79s,435,7089,0.27,0.5s ‒ 10s
